bw,ts,deltar
10,0.1,27.3948154958292
10,0.2,38.86770143305812
10,0.4,-9.320697446806118
10,0.8,-19.374075537880746
10,1,-34.61265644946365
10,1.5,-19.324534390686345
10,2,-15.001741528441514
10,4,-3.722586894764561
10,8,7.3751520689651215
10,10,-5.792938709108341
10,12,-2.991628764662096
10,15,-3.992691459125865
20,0.1,58.8078393933244
20,0.2,47.69740279547611
20,0.4,8.903776741798449
20,0.8,2.2435814959023292
20,1,-18.570703725199177
20,1.5,-19.596803989317543
20,2,-14.169410484899615
20,4,-11.683782271278275
20,8,-16.110524442097756
20,10,-15.363304717848877
20,12,-11.796465660142928
20,15,-8.913211030746936
30,0.1,51.91171982189336
30,0.2,47.88117224456965
30,0.4,23.28638279340769
30,0.8,15.406701502928513
30,1,2.1940579444438058
30,1.5,-24.49027148975659
30,2,4.1331091981690875
30,4,-12.629815041533291
30,8,-44.28484220120917
30,10,-28.435498818805627
30,12,-17.236727933429876
30,15,-15.717476200433026
40,0.1,58.22429841615599
40,0.2,55.88562098969996
40,0.4,29.552794000155647
40,0.8,7.90038069251907
40,1,10.43092499725058
40,1.5,-18.085275439215707
40,2,-11.668298610471254
40,4,7.369111245705724
40,8,-27.263880802010817
40,10,-23.46035455828678
40,12,-16.69182912502646
40,15,-30.476947903106037
50,0.1,61.82203391537038
50,0.2,61.04870939394688
50,0.4,36.698318621530596
50,0.8,9.276342198884876
50,1,2.1773362132711647
50,1.5,-28.65144202191754
50,2,0.7869810484280393
50,4,-1.3558905950448263
50,8,-27.51314856486121
50,10,-20.354367197204454
50,12,-12.90624136235374
50,15,-15.21752834642416
60,0.1,71.84841198412255
60,0.2,57.843371173981886
60,0.4,38.78102299533864
60,0.8,15.760937846773716
60,1,13.384121215303068
60,1.5,-25.051306738889853
60,2,-3.1995649718628485
60,4,-1.536374485109647
60,8,-26.05710822016262
60,10,-18.510285204022182
60,12,-9.361465802660746
60,15,-10.665655806286082
70,0.1,78.81662773191039
70,0.2,67.96919682045683
70,0.4,35.07819171672239
70,0.8,29.53232434060221
70,1,4.707623163476686
70,1.5,-8.485540916931523
70,2,-8.100837573021447
70,4,16.372351402259213
70,8,-28.352082846787056
70,10,-29.0028854415238
70,12,-17.7387846317865
70,15,-11.98021311793724
80,0.1,69.19800364832344
80,0.2,62.53452056784209
80,0.4,34.12243362467612
80,0.8,23.060699253442763
80,1,29.284189009254288
80,1.5,-13.198216740671796
80,2,-6.120777870001763
80,4,-10.392463212362728
80,8,-32.254813610141554
80,10,-45.86395449156183
80,12,-23.362587601160612
80,15,-21.146931562560667
